time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
0.018,26,6,0,82,15,2,10,5,0,79,15,2,5,6,0,82,16,2,69,8,14,81,22,5
0.033,26,6,0,83,15,2,10,5,0,79,15,2,5,6,0,82,16,2,69,8,14,81,22,5
0.049,27,5,0,83,15,2,10,5,0,79,15,2,5,6,0,82,16,2,69,8,14,81,22,5
0.065,27,5,0,83,15,2,10,5,0,79,15,2,5,6,0,82,16,2,69,9,14,81,22,5
0.083,26,5,0,82,15,2,10,5,0,80,15,2,4,6,0,81,16,2,69,9,14,81,22,5
0.099,26,5,0,82,14,2,10,5,0,80,15,2,4,6,0,81,16,2,69,9,14,82,22,5
0.116,26,5,0,81,14,2,10,6,0,81,16,2,4,6,0,80,16,2,69,9,14,82,22,5
0.132,26,5,0,81,14,2,10,6,0,82,16,2,4,6,0,80,16,2,69,9,14,83,23,5
0.149,26,5,0,80,14,2,10,5,0,83,16,2,4,6,0,79,16,2,69,9,14,84,23,5
0.166,26,5,0,80,14,2,10,5,0,83,16,2,4,6,0,79,16,2,69,9,14,84,23,6
0.183,26,5,0,80,14,2,10,5,0,82,16,2,4,6,0,80,16,2,69,9,14,84,23,6
0.2,26,6,0,81,14,2,10,5,0,82,16,2,4,6,0,80,16,2,69,8,14,84,22,6
0.215,26,6,0,81,14,2,10,5,0,81,15,1,4,7,0,81,16,2,69,8,14,83,22,6
0.233,26,6,0,82,15,2,10,5,0,81,15,1,4,7,0,81,16,2,69,8,14,82,22,5
0.25,26,6,0,82,15,2,10,5,0,80,15,1,4,7,0,82,16,2,69,8,14,82,22,5
0.265,26,5,0,83,15,2,10,5,0,79,15,1,4,7,0,83,16,2,69,8,14,81,22,5
0.283,26,5,0,83,15,2,10,5,0,79,15,1,4,7,0,83,16,2,69,8,14,81,22,5
0.299,26,5,0,82,15,2,11,5,0,80,15,1,4,7,0,83,16,2,69,8,14,81,22,5
0.315,26,5,0,82,15,2,11,5,0,80,15,1,4,6,0,82,16,2,69,8,14,82,22,5
0.332,26,5,0,81,15,2,11,5,0,81,16,2,4,6,0,81,16,2,69,8,14,82,22,5
0.348,26,5,0,81,14,2,11,5,0,82,16,2,4,6,0,81,16,2,69,9,14,83,22,5
0.366,26,5,0,80,14,2,11,5,0,82,16,2,4,6,0,80,16,2,69,9,14,84,22,5
0.384,26,5,0,80,14,2,11,5,0,83,16,2,4,6,0,80,16,2,69,9,14,84,22,6
0.398,26,6,0,80,14,2,11,5,0,82,16,2,4,6,0,79,16,2,69,9,14,85,22,6
0.415,26,6,0,80,14,2,11,5,0,82,16,2,4,6,0,80,16,2,69,8,14,84,22,6
0.433,26,6,0,81,14,2,11,5,0,81,15,2,4,6,0,80,16,2,69,8,14,84,22,6
0.45,26,6,0,81,14,2,11,5,0,80,15,2,4,6,0,81,16,2,69,8,14,83,22,5
0.468,26,6,0,82,15,2,11,5,0,79,15,2,4,6,0,81,16,2,69,8,14,82,22,5
0.482,26,5,0,83,15,2,11,5,0,79,15,2,4,7,0,82,16,2,69,8,14,81,22,5
0.499,26,5,0,83,15,2,11,5,0,79,15,2,4,6,0,83,16,2,69,8,14,81,22,5
0.517,26,5,0,82,15,2,11,5,0,79,15,2,4,6,0,83,16,2,69,8,14,81,22,5
0.533,26,5,0,82,15,2,11,5,0,80,15,2,4,6,0,82,16,2,69,8,14,81,22,5
0.55,26,5,0,81,15,2,11,5,0,80,15,2,4,6,0,82,16,2,69,8,15,82,22,5
0.567,26,5,0,81,15,2,10,6,0,81,16,2,4,6,0,81,16,2,69,8,15,82,22,5
0.582,26,5,0,80,14,2,10,6,0,81,16,2,4,6,0,80,16,2,69,9,15,83,22,5
0.598,26,5,0,79,14,2,10,6,0,82,16,2,4,6,0,80,16,2,69,9,15,83,22,5
0.615,26,5,0,80,14,2,10,6,0,82,16,2,4,6,0,79,16,2,69,9,15,84,22,6
